state_constituency_id,state_constituency_name,state_id,lga_id
SC_229_CR,Calabar South II,ST_CR,LGA_CR_CALABAR_SOUTH
SC_230_CR,Etung,ST_CR,LGA_CR_ETUNG
SC_231_CR,Ikom I,ST_CR,LGA_CR_IKOM
SC_232_CR,Ikom II,ST_CR,LGA_CR_IKOM
SC_233_CR,Obanliku,ST_CR,LGA_CR_OBANLIKU
SC_234_CR,Obubra I,ST_CR,LGA_CR_OBUBRA
SC_235_CR,Obubra II,ST_CR,LGA_CR_OBUBRA
SC_236_CR,Obudu,ST_CR,LGA_CR_OBUDU
SC_237_CR,Odukpani,ST_CR,LGA_CR_ODUKPANI
SC_238_CR,Ogoja,ST_CR,LGA_CR_OGOJA
SC_239_CR,Yakurr I,ST_CR,LGA_CR_YAKURR
SC_240_CR,Yakurr II,ST_CR,LGA_CR_YAKURR
SC_241_CR,Yala I,ST_CR,LGA_CR_YALA
SC_242_CR,Yala II,ST_CR,LGA_CR_YALA
SC_243_DT,Aniocha North,ST_DE,LGA_DE_ANIOCHA_NORTH
SC_244_DT,Aniocha South,ST_DE,LGA_DE_ANIOCHA_SOUTH
SC_245_DT,Bomadi,ST_DE,LGA_DE_BOMADI
SC_246_DT,Burutu,ST_DE,LGA_DE_BURUTU
SC_247_DT,Burutu North,ST_DE,LGA_DE_BURUTU
SC_248_DT,Ethiope East,ST_DE,LGA_DE_ETHIOPE_EAST
SC_249_DT,Ethiope West,ST_DE,LGA_DE_ETHIOPE_WEST
SC_250_DT,Ika North East,ST_DE,LGA_DE_IKA_NORTH_EAST
SC_251_DT,Ika South,ST_DE,LGA_DE_IKA_SOUTH
SC_252_DT,Isoko North,ST_DE,LGA_DE_ISOKO_NORTH
SC_253_DT,Isoko South I,ST_DE,LGA_DE_ISOKO_SOUTH
SC_254_DT,Isoko South II,ST_DE,LGA_DE_ISOKO_SOUTH
SC_255_DT,Ndokwa East,ST_DE,LGA_DE_NDOKWA_EAST
SC_256_DT,Ndokwa West,ST_DE,LGA_DE_NDOKWA_WEST
SC_257_DT,Okpe,ST_DE,LGA_DE_OKPE
SC_258_DT,Oshimili North,ST_DE,LGA_DE_OSHIMILI_NORTH
SC_259_DT,Oshimili South,ST_DE,LGA_DE_OSHIMILI_SOUTH
SC_260_DT,Patani,ST_DE,LGA_DE_PATANI
SC_261_DT,Sapele,ST_DE,LGA_DE_SAPELE
SC_262_DT,Udu,ST_DE,LGA_DE_UDU
SC_263_DT,Ughelli North I,ST_DE,LGA_DE_UGHELLI_NORTH
SC_264_DT,Ughelli North II,ST_DE,LGA_DE_UGHELLI_NORTH
